,rotation,a,b,A,n2,a,b,c,V,n3,r,roundness,error,y1,y2,,Am,Ac,r,Ana,Ana,An,mu,r,g(mu),At
,,[pixel],[pixel],[mm2],,[mm],[mm],[mm],[mm3],,,,,c/a,b/a,,measured,computed,Ac/Am,measured,[mm2],[mm2],,,,[mm2]
,375,452,411,147520,2.06,52.07,49.92,44.53,65615,2.18,39.79,0.89,,0.86,0.96,1,,,,,,,,,,
,375,379,412,128250,2.27,52.07,49.92,44.53,0,0.00,,,,0.86,0.96,2,,,,,,,,,,
,375,448,377,133570,2.04,52.07,49.92,44.53,0,0.00,,,,0.86,0.96,3,,,,,,,,,,
,400,433,383,132770,2.11,49.29,46.88,42.37,59444,2.36,,0.95,,0.86,0.95,1,,,,,,,,,,
,400,367,415,121810,2.10,49.29,46.88,42.37,0,0.00,,,,0.86,0.95,2,,,,,,,,,,
,400,400,372,119740,2.14,49.29,46.88,42.37,0,0.00,,,,0.86,0.95,3,,,,,,,,,,
,450,396,371,118030,2.13,46.92,45.59,37.26,49444,2.43,,,,0.79,0.97,1,,,,,,,,,,
,450,354,376,106660,2.11,46.92,45.59,37.26,0,0.00,,,,0.79,0.97,2,,,,,,,,,,
,450,375,351,96162,1.69,46.92,45.59,37.26,0,0.00,,,,0.79,0.97,3,,,,,,,,,,
,500,370,349,100420,1.95,41.35,43.02,35.26,41149,2.63,,,,0.85,1.04,1,,,,,,,,,,
,500,328,318,91114,2.85,41.35,43.02,35.26,0,0.00,,,,0.85,1.04,2,,,,,,,,,,
,500,371,324,95097,2.04,41.35,43.02,35.26,0,0.00,,,,0.85,1.04,3,,,,,,,,,,
,0,614,522,319190,19.34,70.52,60.10,51.62,218390,10.00,5.00,0.10,10.56,0.73,0.85,1,55458.16,4177.78,0.08,55458.16,4177.78,21648.36,1.32,37.36,1.22,
,0,78,8,706,-1.00,70.52,60.10,51.62,0,0.00,,,214.17,0.73,0.85,2,43888.54,3058.10,0.07,43888.54,3058.10,,,,,
,0,37,67,1817,1.71,70.52,60.10,51.62,0,0.00,,,8.20,0.73,0.85,3,48101.23,3588.30,0.07,48101.23,3588.30,,,,,
,25,606,518,297910,4.94,70.52,60.10,51.62,200420,6.62,13.32,0.26,344.09,0.73,0.85,1,52148.86,4109.72,0.08,38457.03,3030.70,14078.29,1.27,36.30,1.14,
,25,133,11,1351,3.89,70.52,60.10,51.62,0,0.00,,,525.16,0.73,0.85,2,40980.70,3008.27,0.07,23502.04,1725.22,,,,,
